2026/6/21,#genre#
北京卫视,http://115.211.1.213:8001/udp/233.50.201.107:5140
北京卫视,http://114.226.212.153:8787/rtp/239.49.8.141:6000
北京卫视,http://114.226.212.153:8787/rtp/239.49.8.11:9414
北京卫视,http://114.226.212.154:8787/rtp/239.49.8.141:6000
北京卫视,http://114.226.212.154:8787/rtp/239.49.8.11:9414
北京卫视,http://114.226.212.155:8787/rtp/239.49.8.141:6000
北京卫视,http://114.226.212.155:8787/rtp/239.49.8.11:9414
北京卫视,http://121.237.245.222:8888/rtp/239.49.8.141:6000
北京卫视,http://121.237.245.222:8888/rtp/239.49.8.11:9414
北京卫视,http://202.107.163.231:5555/udp/238.125.5.3:5140
北京卫视,http://171.213.155.70:8188/udp/239.93.0.180:5140
北京卫视,http://171.213.237.186:8188/udp/239.93.0.180:5140
北京卫视,http://171.213.237.234:8188/udp/239.93.0.180:5140
北京卫视,http://171.213.238.188:8188/udp/239.93.0.180:5140
北京卫视,http://171.213.239.229:8188/udp/239.93.0.180:5140
北京卫视,http://171.213.242.8:8188/udp/239.93.0.180:5140
北京卫视,http://123.179.60.127:4022/rtp/239.29.0.108:5000
北京卫视,http://223.167.230.155:4022/rtp/239.45.3.229:5140
北京卫视,http://106.45.2.15:4000/rtp/239.121.4.117:8684
北京卫视,http://1.192.241.97:8188/rtp/239.16.20.76:10760
北京卫视,http://171.8.104.228:8800/rtp/239.16.20.76:10760
北京卫视,http://171.8.168.212:8800/rtp/239.16.20.76:10760
北京卫视,http://113.251.74.222:8012/rtp/235.254.198.66:1540
北京卫视,http://220.176.218.173:9000/udp/239.252.219.206:5140
北京卫视,http://58.46.30.165:8188/udp/239.76.253.184:9000
北京卫视,http://58.46.30.165:8188/udp/239.76.246.184:1234
北京卫视,http://106.59.2.32:55555/rtp/239.200.200.5:8024
北京卫视,http://106.59.2.85:55555/rtp/239.200.200.5:8024
北京卫视,http://115.171.216.32:4000/rtp/225.1.8.21:8002
北京卫视,http://115.171.216.46:4000/rtp/225.1.8.21:8002
北京卫视,http://218.86.187.110:8188/rtp/238.255.2.81:5999
北京卫视,http://113.119.24.33:58888/udp/239.77.1.4:5146
北京卫视,http://113.119.24.33:58888/udp/239.77.1.151:5146
北京卫视,http://113.119.25.146:58888/udp/239.77.1.4:5146
北京卫视,http://113.119.25.146:58888/udp/239.77.1.151:5146
北京卫视,http://183.236.43.98:4013/udp/239.77.1.4:5146
北京卫视,http://183.236.43.98:4013/udp/239.77.1.151:5146
北京卫视,http://180.213.170.24:8188/rtp/239.5.1.89:5000
北京卫视,http://42.92.117.151:8231/udp/239.255.30.133:8231
北京卫视,http://27.154.99.234:3386/rtp/239.61.2.32:8186
北京卫视,http://223.198.241.63:4000/rtp/239.253.64.204:5140
北京卫视,http://59.174.160.80:4022/rtp/239.254.96.141:8920
北京卫视,http://59.174.162.239:4022/rtp/239.254.96.141:8920
北京卫视,http://116.2.162.41:4010/rtp/232.0.0.117:1234
北京卫视,http://121.29.215.105:2083/rtp/239.253.92.87:8014
北京卫视,http://60.4.30.177:8077/rtp/239.253.92.87:8014
北京卫视,http://112.109.206.208:9999/rtp/239.255.40.46:8208
北京卫视,http://111.196.130.150:20000/rtp/239.3.1.241:8000
北京卫视,http://114.254.36.246:8888/rtp/239.3.1.241:8000
北京卫视,http://114.254.37.70:8888/rtp/239.3.1.241:8000
北京卫视,http://114.254.80.49:4022/rtp/239.3.1.241:8000
北京卫视,http://114.254.86.222:8888/rtp/239.3.1.241:8000
北京卫视,http://123.118.54.216:8686/rtp/239.3.1.241:8000
北京卫视,http://123.118.56.82:8686/rtp/239.3.1.241:8000
北京卫视,http://221.220.128.207:8012/rtp/239.3.1.241:8000
北京卫视,http://211.158.175.47:8888/udp/225.0.4.78:7980
北京卫视,http://58.253.171.52:8188/udp/239.0.1.83:8024
北京卫视,http://39.77.158.228:4002/rtp/239.253.254.85:8000
北京卫视,http://39.77.159.240:4002/rtp/239.253.254.85:8000
北京卫视,http://39.77.24.219:4002/rtp/239.253.254.85:8000
北京卫视,http://39.77.26.255:4002/rtp/239.253.254.85:8000
北京卫视,http://117.12.151.1:4022/rtp/225.1.1.113:5002
北京卫视,http://171.119.206.234:6000/rtp/226.0.2.177:9328
北京卫视,http://171.119.207.72:6000/rtp/226.0.2.177:9328
北京卫视,http://112.192.72.160:8484/rtp/239.0.0.52:5140
北京卫视,http://112.192.73.34:8484/rtp/239.0.0.52:5140
北京卫视,http://122.189.103.197:8888/rtp/228.0.0.63:6108
北京卫视,http://113.58.7.33:8188/rtp/239.254.96.84:7656
北京卫视,http://113.7.77.93:4022/rtp/229.58.190.172:5000
北京卫视,http://219.156.95.119:4022/rtp/225.1.4.81:1110
北京卫视,http://27.18.85.136:1234/630287636
北京卫视,http://222.140.13.12:1234/630287636
北京卫视,http://207.56.13.146:81/cdnlive/bjws.m3u8
北京卫视,http://192.151.150.154/live/bjwshd.m3u8
北京卫视,http://204.12.221.218:8181/3m1080p/bjws.m3u8
北京卫视,http://101.6.130.52:1234/630287636
北京卫视,http://222.90.21.30:9901/hls/23/index.m3u8
北京卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=FifastbLive&Contentid=5000000004000031556&livemode=1&stbId=yu&mode=1&$8M
北京卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000010000011502&livemode=1&stbId=yu&mode=1&$4M
北京卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000017156&livemode=1&stbId=yu&mode=1&$4M
北京卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021288&livemode=1&stbId=yu&mode=1&$8M
北京卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265027&livemode=1&stbId=yu&mode=1&$6M
北京卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=8186688740528366039&livemode=1&stbId=yu&mode=1&$2M
北京卫视,http://111.29.9.42:6610/000000001000/1000000001000017156/index.m3u8?channel-id=ystenlive&Contentid=1000000001000017156&livemode=1&stbId=3
北京卫视,http://60.10.139.113:8801/hls/20/index.m3u8
北京卫视,http://183.162.104.153:1234/630287636
凤凰卫视,http://110.178.145.70:8188/udp/239.1.1.126:8126

金鹰卡通,http://111.29.9.33:6610/000000001000/5000000006000040024/index.m3u8?channel-id=bestzb&Contentid=5000000006000040024&livemode=1&stbId=3
金鹰卡通,http://120.87.19.109:80/PLTV/88888973/224/3221226664/10000100000000060000000002070298_0.smil/01.m3u8?fmt=ts2hls,244,01.m3u8&accountinfo=UoQbCSdhOfs+Fhzpjb+WON1faRQ9pU15SBx6EULzJM/q63EjPL5/UXSVfEKzDq3x0Urd2lQtGXCDQud3DPmJnwWZ1F4+6A1eDkDeh5XZlpvpn23wIF+ldb6dnBPa8zHj,END&tenantId=8601
